005,.,free,-,counter,.,co,.,uk,0
006,.,free,-,adult,-,counters,.,x,-,xtra,.,com,0
006,.,free,-,counter,.,co,.,uk,0
007,.,free,-,counter,.,co,.,uk,0
007,.,go2cloud,.,org,0
0075,-,7112,-,e7eb,-,f9b9,.,reporo,.,net,0
08,.,185,.,87,.,111,.,liveadvert,.,com,0
08,.,185,.,87,.,113,.,liveadvert,.,com,0
08,.,185,.,87,.,114,.,liveadvert,.,com,0
08,.,185,.,87,.,115,.,liveadvert,.,com,0
08,.,185,.,87,.,116,.,liveadvert,.,com,0
08,.,185,.,87,.,117,.,liveadvert,.,com,0
08,.,185,.,87,.,118,.,liveadvert,.,com,0
08,.,185,.,87,.,119,.,liveadvert,.,com,0
08,.,185,.,87,.,13,.,liveadvert,.,com,0
08,.,185,.,87,.,130,.,liveadvert,.,com,0
08,.,185,.,87,.,131,.,liveadvert,.,com,0
08,.,185,.,87,.,133,.,liveadvert,.,com,0
08,.,185,.,87,.,134,.,liveadvert,.,com,0
08,.,185,.,87,.,135,.,liveadvert,.,com,0
08,.,185,.,87,.,136,.,liveadvert,.,com,0
08,.,185,.,87,.,137,.,liveadvert,.,com,0
08,.,185,.,87,.,138,.,liveadvert,.,com,0
08,.,185,.,87,.,139,.,liveadvert,.,com,0
08,.,185,.,87,.,14,.,liveadvert,.,com,0
08,.,185,.,87,.,140,.,liveadvert,.,com,0
08,.,185,.,87,.,141,.,liveadvert,.,com,0
08,.,185,.,87,.,143,.,liveadvert,.,com,0
08,.,185,.,87,.,144,.,liveadvert,.,com,0
08,.,185,.,87,.,145,.,liveadvert,.,com,0
08,.,185,.,87,.,146,.,liveadvert,.,com,0
08,.,185,.,87,.,147,.,liveadvert,.,com,0
08,.,185,.,87,.,148,.,liveadvert,.,com,0
08,.,185,.,87,.,149,.,liveadvert,.,com,0
08,.,185,.,87,.,15,.,liveadvert,.,com,0
08,.,185,.,87,.,150,.,liveadvert,.,com,0
08,.,185,.,87,.,151,.,liveadvert,.,com,0
08,.,185,.,87,.,153,.,liveadvert,.,com,0
08,.,185,.,87,.,154,.,liveadvert,.,com,0
08,.,185,.,87,.,155,.,liveadvert,.,com,0
08,.,185,.,87,.,156,.,liveadvert,.,com,0
08,.,185,.,87,.,157,.,liveadvert,.,com,0
08,.,185,.,87,.,158,.,liveadvert,.,com,0
08,.,185,.,87,.,159,.,liveadvert,.,com,0
08,.,185,.,87,.,16,.,liveadvert,.,com,0
08,.,185,.,87,.,160,.,liveadvert,.,com,0
08,.,185,.,87,.,161,.,liveadvert,.,com,0
08,.,185,.,87,.,163,.,liveadvert,.,com,0
08,.,185,.,87,.,164,.,liveadvert,.,com,0
08,.,185,.,87,.,165,.,liveadvert,.,com,0
08,.,185,.,87,.,166,.,liveadvert,.,com,0
08,.,185,.,87,.,167,.,liveadvert,.,com,0
08,.,185,.,87,.,168,.,liveadvert,.,com,0
08,.,185,.,87,.,169,.,liveadvert,.,com,0
08,.,185,.,87,.,17,.,liveadvert,.,com,0
08,.,185,.,87,.,170,.,liveadvert,.,com,0
08,.,185,.,87,.,171,.,liveadvert,.,com,0
08,.,185,.,87,.,173,.,liveadvert,.,com,0
08,.,185,.,87,.,174,.,liveadvert,.,com,0
08,.,185,.,87,.,175,.,liveadvert,.,com,0
08,.,185,.,87,.,176,.,liveadvert,.,com,0
08,.,185,.,87,.,177,.,liveadvert,.,com,0
08,.,185,.,87,.,178,.,liveadvert,.,com,0
08,.,185,.,87,.,179,.,liveadvert,.,com,0
08,.,185,.,87,.,18,.,liveadvert,.,com,0
08,.,185,.,87,.,180,.,liveadvert,.,com,0
08,.,185,.,87,.,181,.,liveadvert,.,com,0
08,.,185,.,87,.,183,.,liveadvert,.,com,0
08,.,185,.,87,.,184,.,liveadvert,.,com,0
08,.,185,.,87,.,185,.,liveadvert,.,com,0
08,.,185,.,87,.,186,.,liveadvert,.,com,0
08,.,185,.,87,.,187,.,liveadvert,.,com,0
08,.,185,.,87,.,188,.,liveadvert,.,com,0
08,.,185,.,87,.,189,.,liveadvert,.,com,0
08,.,185,.,87,.,19,.,liveadvert,.,com,0
08,.,185,.,87,.,190,.,liveadvert,.,com,0
08,.,185,.,87,.,191,.,liveadvert,.,com,0
08,.,185,.,87,.,193,.,liveadvert,.,com,0
08,.,185,.,87,.,194,.,liveadvert,.,com,0
08,.,185,.,87,.,195,.,liveadvert,.,com,0
08,.,185,.,87,.,196,.,liveadvert,.,com,0
08,.,185,.,87,.,197,.,liveadvert,.,com,0
08,.,185,.,87,.,198,.,liveadvert,.,com,0
08,.,185,.,87,.,199,.,liveadvert,.,com,0
08,.,185,.,87,.,3,.,liveadvert,.,com,0
08,.,185,.,87,.,30,.,liveadvert,.,com,0
08,.,185,.,87,.,31,.,liveadvert,.,com,0
08,.,185,.,87,.,33,.,liveadvert,.,com,0
08,.,185,.,87,.,34,.,liveadvert,.,com,0
08,.,185,.,87,.,35,.,liveadvert,.,com,0
08,.,185,.,87,.,36,.,liveadvert,.,com,0
08,.,185,.,87,.,37,.,liveadvert,.,com,0
08,.,185,.,87,.,38,.,liveadvert,.,com,0
08,.,185,.,87,.,39,.,liveadvert,.,com,0
08,.,185,.,87,.,4,.,liveadvert,.,com,0
08,.,185,.,87,.,40,.,liveadvert,.,com,0
08,.,185,.,87,.,41,.,liveadvert,.,com,0
08,.,185,.,87,.,43,.,liveadvert,.,com,0
08,.,185,.,87,.,44,.,liveadvert,.,com,0
08,.,185,.,87,.,45,.,liveadvert,.,com,0
08,.,185,.,87,.,46,.,liveadvert,.,com,0
08,.,185,.,87,.,47,.,liveadvert,.,com,0
08,.,185,.,87,.,48,.,liveadvert,.,com,0
08,.,185,.,87,.,49,.,liveadvert,.,com,0
08,.,185,.,87,.,5,.,liveadvert,.,com,0
08,.,185,.,87,.,50,.,liveadvert,.,com,0
08,.,185,.,87,.,51,.,liveadvert,.,com,0
08,.,185,.,87,.,53,.,liveadvert,.,com,0
08,.,185,.,87,.,54,.,liveadvert,.,com,0
08,.,185,.,87,.,55,.,liveadvert,.,com,0
08,.,185,.,87,.,56,.,liveadvert,.,com,0
08,.,185,.,87,.,57,.,liveadvert,.,com,0
08,.,185,.,87,.,58,.,liveadvert,.,com,0
08,.,185,.,87,.,59,.,liveadvert,.,com,0
08,.,185,.,87,.,6,.,liveadvert,.,com,0
08,.,185,.,87,.,60,.,liveadvert,.,com,0
08,.,185,.,87,.,61,.,liveadvert,.,com,0
08,.,185,.,87,.,63,.,liveadvert,.,com,0
08,.,185,.,87,.,64,.,liveadvert,.,com,0
08,.,185,.,87,.,65,.,liveadvert,.,com,0
08,.,185,.,87,.,66,.,liveadvert,.,com,0
08,.,185,.,87,.,67,.,liveadvert,.,com,0
08,.,185,.,87,.,68,.,liveadvert,.,com,0
08,.,185,.,87,.,69,.,liveadvert,.,com,0
08,.,185,.,87,.,7,.,liveadvert,.,com,0
08,.,185,.,87,.,70,.,liveadvert,.,com,0
08,.,185,.,87,.,71,.,liveadvert,.,com,0
08,.,185,.,87,.,73,.,liveadvert,.,com,0
08,.,185,.,87,.,74,.,liveadvert,.,com,0
08,.,185,.,87,.,75,.,liveadvert,.,com,0
08,.,185,.,87,.,76,.,liveadvert,.,com,0
08,.,185,.,87,.,77,.,liveadvert,.,com,0
08,.,185,.,87,.,78,.,liveadvert,.,com,0
08,.,185,.,87,.,79,.,liveadvert,.,com,0
08,.,185,.,87,.,8,.,liveadvert,.,com,0
08,.,185,.,87,.,80,.,liveadvert,.,com,0
08,.,185,.,87,.,81,.,liveadvert,.,com,0
08,.,185,.,87,.,83,.,liveadvert,.,com,0
08,.,185,.,87,.,84,.,liveadvert,.,com,0
08,.,185,.,87,.,85,.,liveadvert,.,com,0
08,.,185,.,87,.,86,.,liveadvert,.,com,0
08,.,185,.,87,.,87,.,liveadvert,.,com,0
08,.,185,.,87,.,88,.,liveadvert,.,com,0
08,.,185,.,87,.,89,.,liveadvert,.,com,0
08,.,185,.,87,.,9,.,liveadvert,.,com,0
08,.,185,.,87,.,90,.,liveadvert,.,com,0
08,.,185,.,87,.,91,.,liveadvert,.,com,0
08,.,185,.,87,.,93,.,liveadvert,.,com,0
08,.,185,.,87,.,94,.,liveadvert,.,com,0
08,.,185,.,87,.,95,.,liveadvert,.,com,0
08,.,185,.,87,.,96,.,liveadvert,.,com,0
08,.,185,.,87,.,97,.,liveadvert,.,com,0
08,.,185,.,87,.,98,.,liveadvert,.,com,0
08,.,185,.,87,.,99,.,liveadvert,.,com,0
0896,-,c1b9,-,ed40,-,acad,.,reporo,.,net,0
0aac4e6a54c170b0,.,se,1
0alha,.,voluumtrk,.,com,0
0b1xr,.,voluumtrk,.,com,0
0bfn6,.,voluumtrk,.,com,0
0br,.,realsecuredredirect,.,com,0
0cfe,-,e814,-,fd2a,-,7ffc,.,reporo,.,net,0
0cwjs,.,voluumtrk,.,com,0
0dedx,.,voluumtrk,.,com,0
0ftgo,.,voluumtrk,.,com,0
0gitx,.,voluumtrk,.,com,0
0hna,.,com,0
0iiml,.,voluumtrk,.,com,0
0latfee,.,ero,-,advertising,.,com,0
0llii0g6,.,com,0
0md5e,.,voluumtrk,.,com,0
0mt66,.,voluumtrk,.,com,0
0muvp,.,voluumtrk,.,com,0
0ny3m,.,voluumtrk,.,com,0
0qhuv,.,voluumtrk,.,com,0
0rlbs,.,voluumtrk,.,com,0
0wptk,.,voluumtrk,.,com,0
0yn3h,.,voluumtrk,.,com,0
1,-,1ads,.,com,0
1,.,chipde,.,damoh,.,schneevonmorgen,.,com,0
1,.,coolestmobi,.,com,0
1,.,gmxnet,.,damoh,.,schneevonmorgen,.,com,0
1,.,im,.,cz,0
1,.,psfree,.,pay,.,clickbank,.,net,0
1,.,ptp22,.,com,0
1,.,quicktrkr,.,com,0
10,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
10,.,ptp22,.,com,0
100,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
100023,.,live173,.,com,0
101,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1016557,.,fls,.,doubleclick,.,net,0
1017680,.,109mview,.,atdmt,.,com,.,1,.,6000,.,302br,.,net,0
101order,.,com,0
102,.,112,.,2o7,.,net,0
102,.,122,.,2o7,.,net,0
102,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
10267,.,10cms,.,com,0
103,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1030,.,go2cloud,.,org,0
1033,.,bitterstrawberry,.,com,0
104,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
105,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
106,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
106794,.,hittail,.,com,0
107,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
10712824,.,qqc,.,co,0
108,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
108434,.,hittail,.,com,0
109,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
10fbb07a4b0,.,se,1
11,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
11,.,ptp22,.,com,0
11,.,rtstats,.,com,0
110,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
111,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
11163929,-,2268,.,c2,.,adprotect,.,net,0
11163929,-,2315,.,c2,.,adprotect,.,net,0
11163929,-,2410,.,c,.,adprotect,.,net,0
11163929,-,2410,.,c2,.,adprotect,.,net,0
11163929,-,3212,.,c,.,adprotect,.,net,0
11163929,-,3212,.,c2,.,adprotect,.,net,0
11163929,-,3367,.,c2,.,adprotect,.,net,0
11163929,-,3482,.,c2,.,adprotect,.,net,0
11163943,.,c,.,adprotect,.,net,0
11164000,-,690,.,c,.,adprotect,.,net,0
11167236,.,adscreendirect,.,com,0
112,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
11262,.,engine,.,mobileapptracking,.,com,0
113,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
114,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
115,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
116,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
117,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
118,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
118d654612df63bc8395,-,aecfeaabe29a34ea9a877711ec6d8aed,.,r37,.,cf2,.,rackcdn,.,com,0
119,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
119xpg,.,go2cloud,.,org,0
12,.,ptp22,.,com,0
120,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
120,.,duba,.,net,0
120mk,.,voluumtrk,.,com,0
121,.,2cnt,.,net,0
121,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1212,.,bitterstrawberry,.,com,0
122,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1221,.,bitterstrawberry,.,com,0
1223,.,xg4ken,.,com,0
122807155757,.,c,.,mystat,-,in,.,net,0
123,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
123,.,dominoad,.,com,0
123,.,duba,.,net,0
1239,.,9014,.,302br,.,net,0
123ads,.,nl,0
123advertising,.,nl,0
123banners,.,com,0
123count,.,com,0
123counter,.,mycomputer,.,com,0
123counter,.,superstats,.,com,0
123counts,.,com,0
123jmdmediagroupllc,.,go2cloud,.,org,0
123spill,.,no,0
123srv,.,com,0
123stat,.,com,0
123webmarketing,.,com,0
124,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
125,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
126,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
126,.,xg4ken,.,com,0
1268402,.,fls,.,doubleclick,.,net,0
127,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
128,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
129,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
12place,.,com,1
13,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
13,.,ptp22,.,com,0
130,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
131,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
132,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1326154,.,fls,.,doubleclick,.,net,0
133,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1330903,.,fls,.,doubleclick,.,net,0
134,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
135,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1359940,.,fls,.,doubleclick,.,net,0
136,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
13618,.,9005,.,302br,.,net,0
137,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
137852403,.,log,.,optimizely,.,com,0
138,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
139,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
14,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
14,.,ptp22,.,com,0
140,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
140cc,.,v,.,fwmrm,.,net,0
140proof,.,com,0
141,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
14119276be0852,.,com,0
1412173,.,fls,.,doubleclick,.,net,0
141aa,.,voluumtrk,.,com,0
142,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
143,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1435575,.,fls,.,doubleclick,.,net,0
144,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
145,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
146,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
147,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
148,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
149,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
15,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
15,.,ptp22,.,com,0
150,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
151,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1513878,.,fls,.,doubleclick,.,net,0
152,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
152media,.,adk2x,.,com,0
153,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
154,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
155,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
156,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
157,-,events,.,olark,.,com,0
157,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
158,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
159,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
15cen,.,redirectvoluum,.,com,0
15qhn,.,voluumtrk,.,com,0
15view,.,atdmt,.,com,.,319,.,6000,.,302br,.,net,0
16,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
16,.,ptp22,.,com,0
160,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
160tracker,.,com,0
160x600,.,exad,.,me,0
161,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
162,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
163,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
163,.,wrating,.,com,0
164,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
165,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1651,.,bitterstrawberry,.,com,0
1652,.,bitterstrawberry,.,com,0
1653,.,bitterstrawberry,.,com,0
1655,.,bitterstrawberry,.,com,0
166,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1669323,.,r,.,msn,.,com,0
1669437,.,r,.,msn,.,com,0
167,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
168,.,112,.,207,.,net,0
168,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
169,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1695693,.,r,.,msn,.,com,0
1695842,.,r,.,msn,.,com,0
1696908298,.,rsc,.,cdn77,.,org,0
16qul,.,voluumtrk,.,com,0
17,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
17,.,ptp22,.,com,0
170,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1707489,.,r,.,msn,.,com,0
171,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
172,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
172degrees,.,go2cloud,.,org,0
173,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
174,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1742177,.,fls,.,doubleclick,.,net,0
175,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
176,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
177,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
178,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
179,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
17b4,-,7817,-,18f7,-,3abd,.,reporo,.,net,0
17k,.,originalsafteyredir,.,com,0
17oez,.,voluumtrk,.,com,0
18,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
18,.,ptp22,.,com,0
180,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1800inkfarm,.,go2cloud,.,org,0
181,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
182,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
18205,.,voluumtrk,.,com,0
1821,.,bitterstrawberry,.,com,0
1822333,.,r,.,msn,.,com,0
1829,.,bitterstrawberry,.,com,0
183,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
184,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
18439,.,rejectclick,.,com,0
1846,.,bitterstrawberry,.,com,0
185,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
186,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
187,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
188,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
189,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
18clicks,.,com,0
19,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
19,.,ptp22,.,com,0
190,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
191,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
192,.,168,.,112,.,2o7,.,net,0
192,.,168,.,ads,.,trafficjunky,.,net,0
192,.,168,.,ads2,.,contentabc,.,com,0
192,.,168,.,cdn,-,a2,.,contentabc,.,com,0
192,.,168,.,cdn11,.,contentabc,.,com,0
192,.,168,.,media,.,trafficjunky,.,net,0
192,.,168,.,ss,.,xxxmyself,.,com,0
192,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
192,.,com,1
192com,.,112,.,2o7,.,net,0
193,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
194,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
1940,.,bitterstrawberry,.,com,0
195,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
196,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
196179102,.,log,.,optimizely,.,com,0
197,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
198,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
199,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
199ea,.,voluumtrk,.,com,0
1acpa,.,go2cloud,.,org,0
1ad,.,de,0
1app,.,blob,.,core,.,windows,.,net,0
1artgalleryplus,.,go2cloud,.,org,0
1au,.,cqcounter,.,com,0
1bm,.,cqcounter,.,com,0
1ca,.,cqcounter,.,com,0
1cash,.,net,0
1cgi,.,hitbox,.,com,0
1clickscpa,.,go2cloud,.,org,0
1dbxc,.,voluumtrk,.,com,0
1de,.,cqcounter,.,com,0
1de5g,.,voluumtrk,.,com,0
1do16,.,voluumtrk,.,com,0
1es,.,cqcounter,.,com,0
1f62,-,ac07,-,3838,-,8236,.,reporo,.,net,0
1f64,-,9327,-,ddd3,-,a591,.,reporo,.,net,0
1fm8o,.,voluumtrk,.,com,0
1fr,.,cqcounter,.,com,0
1in,.,cqcounter,.,com,0
1jo,.,cqcounter,.,com,0
1k7uk,.,voluumtrk,.,com,0
1m1mage,.,tr553,.,com,0
1mp,.,mobi,0
1mpo6,.,voluumtrk,.,com,0
1msro,.,voluumtrk,.,com,0
1naf9,.,voluumtrk,.,com,0
1nl,.,cqcounter,.,com,0
1no,.,cqcounter,.,com,0
1nvrm,.,voluumtrk,.,com,0
1pgna,.,voluumtrk,.,com,0
1phads,.,com,0
1pt,.,cqcounter,.,com,0
1rcu4,.,voluumtrk,.,com,0
1se,.,cqcounter,.,com,0
1src,.,us,.,intellitxt,.,com,0
1streamline,.,go2cloud,.,org,0
1uk,.,cqcounter,.,com,0
1ul8dvwz0a,.,s,.,ad6media,.,fr,0
1us,.,cqcounter,.,com,0
1w0xj,.,voluumtrk,.,com,0
1wu2u,.,voluumtrk,.,com,0
1xxx,.,cqcounter,.,com,0
1zl86,.,voluumtrk,.,com,0
1zlni,.,voluumtrk,.,com,0
2,.,chipde,.,damoh,.,schneevonmorgen,.,com,0
2,.,livejasmin,.,com,0
2,.,ptp22,.,com,0
20,.,ptp22,.,com,0
200,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
2002,.,bitterstrawberry,.,com,0
201,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
2013561,.,fls,.,doubleclick,.,net,0
2013hk,.,go2cloud,.,org,0
202,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
2026953308,.,go2cloud,.,org,0
203,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
204,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
204,.,bitterstrawberry,.,com,0
205,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
20501671p,.,rfihub,.,com,0
20510777p,.,rfihub,.,com,0
20514681p,.,rfihub,.,com,0
20554339p,.,rfihub,.,com,0
2056,.,bitterstrawberry,.,com,0
20574919p,.,rfihub,.,com,0
20576983p,.,rfihub,.,com,0
20576991p,.,rfihub,.,com,0
20591617p,.,rfihub,.,com,0
206,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
207,.,6,.,87,.,194,.,dynamic,.,dol,.,ru,0
208,.,185,.,87,.,1,.,liveadvert,.,com,0
208,.,185,.,87,.,10,.,liveadvert,.,com,0
208,.,185,.,87,.,100,.,liveadvert,.,com,0
208,.,185,.,87,.,101,.,liveadvert,.,com,0
208,.,185,.,87,.,102,.,liveadvert,.,com,0
208,.,185,.,87,.,103,.,liveadvert,.,com,0
208,.,185,.,87,.,104,.,liveadvert,.,com,0
208,.,185,.,87,.,105,.,liveadvert,.,com,0
208,.,185,.,87,.,106,.,liveadvert,.,com,0
208,.,185,.,87,.,107,.,liveadvert,.,com,0
208,.,185,.,87,.,108,.,liveadvert,.,com,0
208,.,185,.,87,.,109,.,liveadvert,.,com,0
208,.,185,.,87,.,11,.,liveadvert,.,com,0
208,.,185,.,87,.,110,.,liveadvert,.,com,0
208,.,185,.,87,.,111,.,liveadvert,.,com,0
208,.,185,.,87,.,112,.,liveadvert,.,com,0
208,.,185,.,87,.,113,.,liveadvert,.,com,0
208,.,185,.,87,.,114,.,liveadvert,.,com,0
